species_key,observations_total,scientific_name,common_name,observations_after_assessment_year
12157558,2,Nesogale talazaci,Talazac's Shrew Tenrec,2
2432125,2,Microgale pusilla,Least Shrew Tenrec,0
2432151,2,Geogale aurita,Large-eared Tenrec,0
2432305,2,Laephotis wintoni,De Winton’s Llong-eared Bat,0
2432307,2,Laephotis angolensis,Angolan Long-eared Bat,2
2432417,2,Myotis schaubi,Schaub's Myotis,0
2432529,2,Hesperoptenus tomesi,Large False Serotine,1
2432550,2,Kerivoula muscina,Fly River Woolly Bat,2
2432638,2,Rhinolophus keyensis,Insular Horseshoe Bat,1
2432776,2,Dyacopterus spadiceus,Common Dayak Fruit Bat,
2432827,2,Dobsonia viridis,Greenish Naked-backed Fruit Bat,1
2432830,2,Dobsonia emersa,Biak Bare-backed Fruit Bat,2
2432838,2,Cynopterus nusatenggara,Nusatenggara Short-nosed Fruit Bat,1
2433014,2,Tadarida ventralis,African Giant Free-tailed Bat,0
2433087,2,Coleura seychellensis,Seychelles Sheath-tailed Bat,0
2433123,2,Emballonura raffrayana,Raffray's Sheath-tailed Bat,2
2433225,2,Lonchophylla handleyi,Handley's Nectar Bat,1
2433305,2,Phyllonycteris aphylla,Filonicterio,2
2433307,2,Ariteus flavescens,Arite Des Figuiers,2
2433363,2,Caenolestes condorensis,Andean Caenolestid,1
2434124,2,Bdeogale jacksoni,Jackson's Mongoose,0
2434672,2,Diplogale hosei,Hose's Palm Civet,
2435430,2,Phascolosorex doriae,Red-bellied Dasyure,1
2435446,2,Parantechinus apicalis,Dibbler,1
2435493,2,Nectogale elegans,Elegant Water Shrew,
2435498,2,Paracrocidura maxima,Crocidure A Téte Large,0
2435546,2,Crocidura nicobarica,Crocidure Des Nicobar,0
2435715,2,Crocidura elgonius,Crocidure De I'elgon,2
2435717,2,Crocidura thomensis,Crocidure De Sao Tomé,0
2435813,2,Notiosorex cockrumi,Cockrum' ’ S Desert Shrew,0
2435996,2,Sorex preblei,Musaraigne De Preble,0
2436103,2,Sorex samniticus,Apennine Shrew,1
2436163,2,Scaptochirus moschatus,Short-faced Mole,2
2436254,2,Uropsilus andersoni,Anderson S Shrew Mole,0
2436291,2,Tupaia splendidula,Ruddy Tree Shrew,1
2436374,2,Pithecia albicans,Buffy Saki,0
2436496,2,Lepilemur dorsalis,Back-striped Sportive Lemur,1
2436938,2,Caprolagus hispidus,Hispid Hare,0
2436965,2,Ochotona gloveri,Glover S Pika,0
2437135,2,Atelerix sclateri,Somali Hedgehog,2
2437212,2,Cryptomys zechi,Togo Mole-rat,
