species_key,observations_total,scientific_name,common_name,observations_after_assessment_year
9596413,2360168,Sturnella neglecta,Western Meadowlark,1356131
4408759,2340672,Saxicola rubicola,European Stonechat,
2489169,2331534,Petrochelidon pyrrhonota,Cliff Swallow / American Cliff-swallow,55
7357320,2325304,Spizelloides arborea,American Tree Sparrow,
5229205,2323674,Eudocimus albus,White Ibis / American White Ibis,875525
2480894,2304314,Egretta caerulea,Little Blue Heron,1255
2481819,2302023,Gallinago gallinago,Common Snipe,1958
2492943,2282727,Sylvia communis,Greater Whitethroat,
2490872,2259032,Hylocichla mustelina,Wood Thrush,1008647
5229662,2255994,Tyrannus melancholicus,Tropical Kingbird,773996
7341606,2239070,Cardellina pusilla,Wilson's Warbler,926231
2489129,2186053,Progne subis,Purple Martin,23
2498252,2184002,Alopochen aegyptiaca,Egyptian Goose,1291102
2481721,2171097,Tringa flavipes,Lesser Yellowlegs,4485
2481776,2164194,Arenaria interpres,Ruddy Turnstone,37076
5229155,2163700,Pelecanus erythrorhynchos,American White Pelican,1021
2480964,2142128,Morus bassanus,Northern Gannet,630842
2498347,2123845,Cygnus cygnus,Whooper Swan,11792
2490781,2115199,Turdus iliacus,Redwing,90393
6092631,2111786,Setophaga virens,Black-throated Green Warbler,870722
2481748,2111647,Calidris alba,Sanderling,33857
2487783,2108434,Poecile rufescens,Chestnut-backed Chickadee,295
2484183,2092894,Euphagus cyanocephalus,Brewer's Blackbird,371
5789298,2063213,Tringa semipalmata,Willet,9836
2490310,2062094,Motacilla cinerea,Gray Wagtail,2248
9813242,2060339,Falco columbarius,Merlin,628854
2493863,2050850,Cistothorus palustris,Marsh Wren,848637
2481726,2050116,Tringa nebularia,Common Greenshank,690
9701857,2020282,Motacilla flava,Western Yellow Wagtail,877088
9415596,2020204,Eremophila alpestris,Horned Lark,1043599
2480449,2000262,Haliaeetus albicilla,White-tailed Eagle,604915
5231918,1986882,Cuculus canorus,Common Cuckoo,83614
7341600,1986044,Melozone crissalis,California Towhee,503546
6093209,1966983,Setophaga magnolia,Magnolia Warbler,830188
5229168,1949409,Milvus milvus,Red Kite,951118
6092942,1943362,Setophaga pensylvanica,Chestnut-sided Warbler,859710
2492192,1933151,Melospiza lincolnii,Lincoln's Sparrow,793164
9740253,1930852,Accipiter striatus,Sharp-shinned Hawk,3217
2488485,1926919,Piranga rubra,Summer Tanager,422
2479226,1919690,Psittacula krameri,Rose-ringed Parakeet,
2491872,1918375,Passerella iliaca,Fox Sparrow,750961
5229128,1874609,Himantopus mexicanus,Black-necked Stilt,
2482059,1868229,Podiceps auritus,Horned Grebe / Slavonian Grebe,896219
2488517,1850248,Piranga olivacea,Scarlet Tanager,5
2493129,1848906,Acrocephalus schoenobaenus,Sedge Warbler,23
7531611,1830274,Leiothlypis ruficapilla,Nashville Warbler,771413
2481912,1825669,Ciconia ciconia,White Stork,1259
8346347,1823936,Troglodytes musculus,Southern House-wren,
2478133,1818897,Melanerpes formicivorus,Acorn Woodpecker,10150
2483607,1812890,Sayornis saya,Say's Phoebe,818511
2498255,1803934,Aythya ferina,Common Pochard,499356
9413670,1802376,Larus michahellis,Yellow-legged Gull,1079270
5230754,1794133,Tachycineta thalassina,Violet-green Swallow,5
5231138,1789776,Zonotrichia atricapilla,Golden-crowned Sparrow,804219
7806848,1779828,Certhia brachydactyla,Short-toed Treecreeper,66844
2486655,1778494,Grallina cyanoleuca,Magpie-lark,844032
9566659,1777634,Charadrius hiaticula,Common Ringed Plover,398
2482513,1775019,Corvus frugilegus,Rook,7065
2481146,1767918,Larus californicus,California Gull,1007918
2494200,1766505,Serinus serinus,European Serin,961260
2480295,1746731,Charadrius semipalmatus,Semipalmated Plover,5912
5231240,1734183,Oenanthe oenanthe,Northern Wheatear,776901
2494441,1724049,Fringilla montifringilla,Brambling,73833
5229247,1721630,Sterna forsteri,Forster's Tern,932853
2481784,1707982,Numenius phaeopus,Whimbrel,25438
2492942,1693038,Sylvia borin,Garden Warbler,58631
2490774,1672756,Turdus viscivorus,Mistle Thrush,52829
5230789,1667964,Hirundo neoxena,Welcome Swallow,6126
2487456,1657870,Vireo solitarius,Blue-headed Vireo,718414
2480881,1657481,Egretta tricolor,Tricolored Heron,966
2481728,1645765,Tringa ochropus,Green Sandpiper,480
9656686,1631432,Larus occidentalis,Western Gull,960049
2490936,1631377,Sialia mexicana,Western Bluebird,778839
2478130,1628452,Melanerpes erythrocephalus,Red-headed Woodpecker,1036888
5959118,1625777,Bubo virginianus,Great Horned Owl,968870
2498017,1614875,Anser albifrons,Greater White-fronted Goose,334853
2492870,1614815,Lanius ludovicianus,Loggerhead Shrike,613864
5739317,1612971,Phoenicurus phoenicurus,Common Redstart,60546
2481342,1604189,Uria aalge,Common Murre / Guillemot,495414
2481817,1600806,Gallinago delicata,Wilson's Snipe,635659
7415507,1595003,Leiothlypis peregrina,Tennessee Warbler,783013
2480389,1593489,Gyps fulvus,Griffon Vulture,655972
2498263,1572694,Aythya americana,Redhead,621964
2498273,1570058,Clangula hyemalis,Long-tailed Duck / Oldsquaw,734613
2481196,1568037,Larus glaucescens,Glaucous-winged Gull,894627
2482082,1558570,Anhinga anhinga,Anhinga,1329
2481713,1556102,Tringa glareola,Wood Sandpiper,570
2490246,1552706,Anthus trivialis,Tree Pipit,623825
2493012,1551825,Cettia cetti,Cetti's Warbler,18244
2484133,1545005,Quiscalus major,Boat-tailed Grackle,555
5231103,1534886,Zonotrichia capensis,Rufous-collared Sparrow,922180
2482487,1534759,Corvus macrorhynchos,Large-billed Crow,5332
2490487,1531872,Pheucticus melanocephalus,Black-headed Grosbeak,40
5231722,1530680,Rhipidura leucophrys,Willie-wagtail,7144
9399113,1528564,Phalacrocorax brasilianus,Neotropic Cormorant,
5232464,1522362,Branta leucopsis,Barnacle Goose,769299
2498265,1520761,Aythya marila,Greater Scaup,762170
5229126,1520732,Himantopus himantopus,Black-winged Stilt,919
9629160,1508440,Loxia curvirostra,Red Crossbill,849
8250742,1502549,Calidris pugnax,Ruff,285
2482499,1499542,Corvus splendens,House Crow,1147599
2495471,1494841,Columba oenas,Stock Dove,61056
2493970,1493846,Dicrurus macrocercus,Black Drongo,3691
6065818,1492213,Chroicocephalus philadelphia,Bonaparte's Gull,
2487843,1487248,Poecile palustris,Marsh Tit,9779
5229675,1478131,Tyrannus verticalis,Western Kingbird,610974
5228080,1475477,Callipepla californica,California Quail,644638
6101223,1466988,Spilopelia senegalensis,Laughing Dove,923270
2480773,1456287,Plegadis falcinellus,Glossy Ibis,842
2488602,1449641,Thraupis episcopus,Blue-gray Tanager,
2482065,1442090,Podiceps nigricollis,Eared Grebe / Black-necked Grebe,721266
2490804,1441427,Catharus fuscescens,Veery,855431
2488484,1435838,Piranga ludoviciana,Western Tanager,129
6093856,1432435,Parkesia noveboracensis,Northern Waterthrush,629359
5229935,1432227,Icterus spurius,Orchard Oriole,92
2482791,1428439,Empidonax minimus,Least Flycatcher,642222
2479686,1428406,Trichoglossus haematodus,Coconut Lorikeet,836208
2486131,1424927,Pycnonotus cafer,Red-vented Bulbul,1145598
2487825,1421389,Poecile gambeli,Mountain Chickadee,181
2481958,1419555,Gavia stellata,Red-throated Loon,663659
2480989,1418722,Caracara plancus,Southern Caracara / Southern Crested Caracara,246465
5789281,1409261,Thalasseus maximus,Royal Tern,856511
2498246,1366459,Melanitta perspicillata,Surf Scoter,750921
5228328,1357909,Halcyon smyrnensis,White-throated Kingfisher,536
2494329,1357073,Coccothraustes coccothraustes,Hawfinch,69435
5232446,1355987,Branta bernicla,Brant / Brant Goose,460839
2492960,1345430,Sylvia curruca,Lesser Whitethroat,
2496287,1330866,Coccyzus americanus,Yellow-billed Cuckoo,541996
5229754,1329697,Contopus sordidulus,Western Wood-pewee,586047
2487516,1322705,Malurus cyaneus,Superb Fairywren,12528
2479598,1314754,Eolophus roseicapilla,Galah,584345
2492576,1308520,Muscicapa striata,Spotted Flycatcher,553094
2481433,1300968,Fulmarus glacialis,Northern Fulmar,188280
2487866,1300636,Poecile montanus,Willow Tit,378299
2490263,1300096,Anthus rubescens,American Pipit / Buff-bellied Pipit,727561
2497541,1298375,Strix varia,Barred Owl,11010
5229134,1298203,Vanellus miles,Masked Lapwing,546
2498167,1290512,Anser caerulescens,Snow/ross's Goose,513045
2480801,1284721,Platalea leucorodia,Eurasian Spoonbill,318
2487883,1282828,Lophophanes cristatus,Crested Tit / European Crested-tit,53109
2480524,1282718,Buteo lagopus,Rough-legged Hawk / Rough-legged Buzzard,259723
2498415,1270407,Upupa epops,Eurasian Hoopoe,609442
5230862,1267946,Passerina caerulea,Blue Grosbeak,771283
2493744,1266840,Coereba flaveola,Bananaquit,756681
2487453,1266291,Vireo flavifrons,Yellow-throated Vireo,596980
2481240,1250176,Thalasseus sandvicensis,Sandwich Tern,560877
2481685,1248289,Limosa limosa,Black-tailed Godwit,316
7745240,1243896,Lanius collurio,Red-backed Shrike,50317
6093199,1235222,Setophaga fusca,Blackburnian Warbler,585114
5229146,1232134,Vanellus chilensis,Southern Lapwing,890286
2481764,1226404,Calidris pusilla,Semipalmated Sandpiper,2097
2480259,1222508,Recurvirostra avosetta,Pied Avocet,496937
9088491,1213242,Dryobates nuttallii,Nuttall's Woodpecker,276
7340825,1209401,Troglodytes hiemalis,Winter Wren,546592
2480538,1204180,Buteo platypterus,Broad-winged Hawk,3496
2487144,1201626,Anthochaera carunculata,Red Wattlebird,550841
2482913,1194456,Myiozetetes similis,Social Flycatcher,397237
2498084,1193731,Anas superciliosa,Pacific Black Duck,8118
7660710,1188455,Luscinia megarhynchos,Common Nightingale,11517
2487365,1183517,Manorina melanocephala,Noisy Miner,668092
8959883,1181783,Dryobates scalaris,Ladder-backed Woodpecker,3596
7341828,1180651,Setophaga caerulescens,Black-throated Blue Warbler,473043
2492680,1177844,Copsychus saularis,Oriental Magpie-robin,732460
2477872,1177433,Dryocopus martius,Black Woodpecker,73294
2489396,1175559,Zosterops lateralis,Silvereye,5045
2493028,1165655,Orthotomus sutorius,Common Tailorbird,1990
2496347,1165024,Eudynamys scolopaceus,Asian Koel,247
2487603,1164314,Certhia familiaris,Eurasian Treecreeper,67600
2479888,1158301,Cacatua galerita,Sulphur-crested Cockatoo,601243
