species_key,observations_total,scientific_name,common_name,observations_after_assessment_year
2398551,12,Neopomacentrus sindensis,,
2398754,12,Microspathodon frontatus,Guinea Damselfish,11
2399719,12,Panna microdon,Panna Croaker,4
2399881,12,Micropogonias ectenes,Slender Croaker,
2399936,12,Stellifer stellifer,Little Croaker,1
4284943,12,Patagonotothen brevicauda,,
5208052,12,Taractes asper,Rough Pomfret [Taractes],0
5209039,12,Cryptocentrus albidorsus,White-backed Shrimpgoby,5
5209066,12,Cryptocentrus nigrocellatus,Blackspot Shrimpgoby,4
5209695,12,Bodianus busellatus,Blackspot Hogfish,12
5211135,12,Chlorurus oedema,Knothead Parrotfish,4
5211191,12,Trichogaster chuna,,4
5211666,12,Apogon lativittatus,Broadstripe Cardinalfish,
5211698,12,Apogon talboti,Flame Cardinalfish,4
5211849,12,Apogon nitidus,Bluespot Cardinal,
5212120,12,Amphiprion omanensis,Oman Anemonefish,10
5212251,12,Chromis intercrusma,Peruvian Chromis,12
5212279,12,Chromis flavipectoralis,Malayan Chromis,2
6168371,12,Trimma habrum,Delicate Pygmygoby,0
6169350,12,Hypoplectrus maya,Maya Hamlet,2
7193039,12,Ostorhinchus nanus,Tiny Cardinalfish,2
7193168,12,Parapercis rubromaculata,,
7193169,12,Parapercis kentingensis,,
7653898,12,Ostorhinchus sinus,,
7727679,12,Upeneus nigromarginatus,,
7843750,12,Eretmodus marksmithi,,0
7924142,12,Serranochromis jallae,Yellowbelly Bream,6
7973124,12,Taeniamia pallida,Pallid Cardinalfish,0
8015072,12,Pseudogobius taijiangensis,Taijiang Snubnose Goby,1
8147096,12,Betta siamorientalis,,
8304363,12,Liopropoma santi,Spot-tail Golden Bass,1
8723745,12,Etheostoma nebra,Buck Darter,
8912290,12,Trachinotus macrospilus,,
2408396,12,Parabothus taiwanensis,,7
2408591,12,Asterorhombus cocosensis,Cocos Island Flounder,1
2408734,12,Citharichthys arenaceus,Sand Whiff,6
2408824,12,Pseudorhombus megalops,Bigeye Flounder,0
2410003,12,Brachirus selheimi,,5
2410011,12,Synaptura salinarum,,
5213874,12,Bothus guibei,Guinean Flounder,12
2333581,12,Dactyloptena gilberti,Flying Gurnard,4
2334219,12,Porocottus allisi,,
2334275,12,Artediellus pacificus,Hookhorn Sculpin,
2334507,12,Phenacoscorpius megalops,Noline Scorpionfish,0
2334588,12,Scorpaena azorica,,0
2334719,12,Scorpaenopsis cotticeps,,0
2334836,12,Neomerinthe beanorum,Spotwing Scorpionfish,1
2335335,12,Helicolenus mouchezi,Rosefish,
2335360,12,Sebastiscus tertius,,
2336296,12,Paraliparis rosaceus,Blueink Snailfish,
2336973,12,Erisphex aniarus,,
2337279,12,Maxillicosta meridianus,,
5201630,12,Sarritor leptorhynchus,Longnose Poacher,
7009445,12,Pseudopataecus carnatobarbatus,,
10334783,12,Spatuloricaria terracanticum,,9
2337745,12,Silurichthys hasseltii,,11
2338048,12,Bagrichthys macropterus,,0
2338672,12,Pseudoplatystoma metaense,,4
2338930,12,Pimelodus argenteus,,12
2339144,12,Rineloricaria platyura,Whiptail Catfish,3
2340364,12,Harttiella crassicauda,,0
2340400,12,Farlowella oxyrryncha,,7
2340407,12,Farlowella colombiensis,,5
2341022,12,Noturus flavipinnis,Yellowfin Madtom,2
2342741,12,Corydoras heteromorphus,,0
2342888,12,Ochmacanthus orinoco,,7
2343459,12,Pimelodella macturki,,0
2343920,12,Hassar affinis,,0
2343997,12,Amblydoras affinis,,6
2344005,12,Wertheimeria maculata,,0
2344418,12,Synodontis nigriventris,Back-swimming Congo Catfish,0
2344505,12,Synodontis batesii,,5
2344653,12,Tatia gyrina,,0
2344985,12,Notarius troschelii,Chili Sea Catfish,11
