species_key,observations_total,scientific_name,common_name,observations_after_assessment_year
11183763,37,Bothrocophias lojanus,Lojan Lancehead,10
2444303,37,Porthidium porrasi,,29
2445882,37,Afroedura marleyi,Marley’s Flat Gecko,6
2448194,37,Goggia hewitti,Hewitt’s Dwarf Leaf-toed Gecko,
2449284,37,Rhampholeon spectrum,Cameroon Stumptail Chameleon,27
2454330,37,Adelphicos nigrilatum,Burrowing Snake,36
2455301,37,Alsophis sanctonum,Terre-de-haut Racer,24
2455365,37,Erpeton tentaculatum,Tentacle Snake,34
2456194,37,Mastigodryas dorsalis,Striped Lizard Eater,33
2459845,37,Stenocercus roseiventris,Rose Whorltail Iguana,31
2460934,37,Eutropis bibronii,Seashore Skink,32
2462373,37,Ctenotus nullum,Nullum Ctenotus,
2467443,37,Anolis agassizi,Agassiz's Anole,35
2467722,37,Anolis beckeri,Becker's Lichen Anole,36
2468043,37,Pristidactylus casuhatiensis,Casuhatien Anole,34
5221185,37,Pachydactylus kladaroderma,Fragile Thick-toed Gecko,17
5221656,37,Pristurus minimus,Arnold's Rock Gecko,
5223957,37,Atractus snethlageae,,31
5224015,37,Grayia ornata,Ornate African Water Snake,16
5225227,37,Tropidophorus brookei,Brook's Keeled Skink,35
5225261,37,Lampropholis elongata,Elongate Sunskink,23
5226071,37,Ctenophorus femoralis,Long-tailed Sand-dragon,6
5226764,37,Acanthodactylus grandis,Giant Fringe-fingered Lizard,1
5226967,37,Micrurus elegans,Elegant Coral Snake,32
5227069,37,Calliophis melanurus,Indian Coral Snake,24
5227203,37,Cordylus tropidosternum,Tropical Girdled Lizard,21
7350216,37,Kinyongia boehmei,Böhme's Two-horned Chamaeleon,
7505192,37,Opisthotropis cheni,,26
7580786,37,Furcifer viridis,Green Chameleon,32
7899813,37,Liolaemus chillanensis,Peak Tree Iguana,33
7970764,37,Brookesia brunoi,,33
7988494,37,Archaius tigris,Tiger Chameleon,1
8190244,37,Rena boettgeri,Cerralvo Island Threadsnake,
8284585,37,Trioceros cristatus,Crested Chameleon,27
8361096,37,Epictia magnamaculata,Black Blind Snake,33
9083402,37,Pseudalsophis biserialis,Galapagos Racer,34
9305611,37,Agama knobeli,Southern Rock Agama,
9315078,37,Oedura luritja,Mereenie Velvet Gecko,16
9359401,37,Micropechis ikaheca,Ikaheka Snake,
9387373,37,Xantusia extorris,Durangoan Night Lizard,35
9464687,37,Lophosaurus dilophus,Indonesian Forest Dragon,
9534165,37,Cryptoblepharus boutonii,Snake-eyed Skink,8
9626912,37,Hemidactylus sahgali,Sahgal’s Termite Hill Gecko,27
10289628,36,Morelia azurea,Northern Green Python,
11145702,36,Hebius sarawacensis,Sarawak Keelback,33
11182056,36,Eremias kopetdaghica,Kopet Dagh Racerunner,
11208643,36,Pedioplanis mayeri,,
12228171,36,Pholidobolus odinsae,,
2445457,36,Paroedura stumpffi,,25
2446096,36,Cnemaspis kumpoli,Kumpol’s Rock Gecko,34
2446336,36,Ebenavia boettgeri,,
2446452,36,Lepidoblepharis heyerorum,,21
2447511,36,Phelsuma nigra,Indian Day Gecko,
2449263,36,Rhampholeon boulengeri,Boulenger's Pygmy Chameleon,
2452283,36,Rhabdophis chrysargoides,Günther's Keelback,35
2453601,36,Elapoidis fusca,Dark-grey Ground Snake,36
2456960,36,Psammophylax variabilis,Grey-bellied Grass Snake,25
2458763,36,Echinanthera cyanopleura,,35
2459710,36,Sauromalus slevini,Monserrat Chuckwalla,32
2460524,36,Liolaemus silvanae,,32
2460762,36,Anomalepis colombia,,36
2466484,36,Diporiphora pindan,Pindan (Two-line) Dragon,3
2469798,36,Pedioplanis gaerdesi,Kaokoland Sand Lizard,13
4820715,36,Varanus cumingi,Cuming's Water Monitor,31
5220766,36,Bothrops fonsecai,Fonseca's Lancehead,32
5221283,36,Eublepharis macularius,Leopard Gecko,23
5221287,36,Eublepharis fuscus,Western Indian Leopard Gecko,35
5222777,36,Lycodon butleri,Butler�s Wolf Snake,34
5223890,36,Atractus pantostictus,,35
5225895,36,Ceratophora aspera,Sri Lanka Horned Agama,28
5959339,36,Rhadinaea gaigeae,Gaige's Pine Forest Snake,34
5960197,36,Cyrtodactylus rubidus,Andamans Bent-toed Gecko,30
7620911,36,Erythrolamprus pygmaeus,Amazon Tropical Forest Snake,26
7785264,36,Gehyra punctata,Pilbara Spotted Gecko [Fenestra],20
8457419,36,Malayodracon robinsonii,Robinson's Anglehead Lizard,26
8982938,36,Ophryacus smaragdinus,Emerald Horned Pitviper,
9449853,36,Anolis peynadoi,Hispaniolan Green Anole,
9510823,36,Loxopholis percarinatum,Muller's Tegu,33
10734518,35,Melanophidium khairei,Khaire's Black Shieldtail,21
10777248,35,Saurodactylus elmoudenii,,0
11143945,35,Gehyra lapistola,Litchfield Rock Gehyra,
11148471,35,Lycodon chapaensis,Namdong Wolf Snake,
2444505,35,Trimeresurus yunnanensis,Yunnan Bamboo Pitviper,30
2445488,35,Geckolepis typica,Grandidier's Gecko,6
2445494,35,Geckolepis humbloti,Comoran Fish Scale Gecko,
2445691,35,Oedura gracilis,Gracile Velvet Gecko,
2445703,35,Microgecko latifi,Latifi's Dwarf Gecko,9
2446662,35,Lygodactylus thomensis,Annobon Dwarf Gecko,0
2447221,35,Nactus galgajuga,Black Mountain Slender-toed Gecko,14
2452521,35,Liophidium torquatum,,24
2453058,35,Pareas monticola,Common Slug Snake,34
2464585,35,Leptosiaphos kilimensis,Kilimanjaro Five-toed Skink,33
2467752,35,Anolis rubribarbus,Cuban Tiger Anole,
2472826,35,Aprasia pulchella,Coastal Legless Lizard,31
5221647,35,Lepidodactylus yami,Lanyu Scaly-toed Gecko,28
5222628,35,Oligodon mouhoti,Cambodian Kukri Snake,34
5222951,35,Calamaria griswoldi,Lined Reed Snake,33
5223280,35,Urotheca guentheri,Striped Glasstail,31
7535677,35,Cyrtodactylus doisuthep,Doi Suthep Bent-toed Gecko,26
7764015,35,Dendrophidion graciliverpa,West-ecuadorian Forest-racer,19
