species_key,observations_total,scientific_name,common_name,observations_after_assessment_year
8130383,19813,Carbonicola myrmecina,,
2554662,19767,Craterellus cornucopioides,Horn Of Plenty,1394
8935018,19747,Amanita excelsa,European False Blusher,
11074143,19713,Candelariella aurella,Hidden Goldspeck Lichen,
9690034,19681,Neoantrodia serialis,Serried Porecrust,
2592729,19616,Arthonia vinosa,,
2533674,19608,Gymnopilus junonius,Spectacular Rustgill,
9043861,19465,Suillus variegatus,Velvet Bolete,6776
5242777,19392,Coprinopsis picacea,Magpie Inkcap,
2524910,19389,Tylopilus felleus,Bitter Bolete,
5248670,19271,Lactarius necator,,
6606867,19248,Cladonia uncialis,Thorn Lichen,
3355021,19209,Suillellus luridus,Lurid Bolete,
8238048,19065,Hyaloscypha hepaticicola,,
7365370,18989,Polyporus squamosus,,
8190524,18987,Polycauliona polycarpa,Pin-cushion Sunburst Lichen,
10672826,18986,Hyaloscypha finlandica,,
2591021,18845,Normandina pulchella,Elf Ears Lichen,
2551208,18798,Russula nobilis,Beechwood Sickener,303
2531625,18702,Phyllotopsis nidulans,Orange Mock Oyster,
5954805,18668,Exidia nigricans,,
2524490,18567,Leccinum versipelle,Orange Birch Bolete,
2538864,18531,Ampulloclitocybe clavipes,Club Foot,
8483459,18525,Lecanora conizaeoides,,
8587121,18462,Calogaya pusilla,,
2627419,18460,Rhizophlyctis rosea,,
2605814,18387,Parmeliopsis ambigua,Green Starburst Lichen,3227
2551470,18386,Russula atropurpurea,Blackish-purple Russula,217
3397587,18335,Ramboldia elabens,,
11581860,18308,Russula byssina,,
5241808,18298,Tricholoma terreum,Grey Knight,
4911720,18274,Mycena leptocephala,Nitrous Bonnet,
2538552,18230,Hygrocybe punicea,Crimson Waxcap,5958
8591446,18224,Flavoplaca flavocitrina,,
2551447,18150,Russula foetens,Stinking Brittlegill,565
2609260,18100,Calicium denigratum,,
2522291,18046,Hydnellum aurantiacum,Orange Tooth,
2607124,18046,Lecidella scabra,,
9717684,17942,Anthoporia albobrunnea,,
5248532,17932,Hericium coralloides,Coral Tooth,
2607291,17855,Psilolechia lucida,Sulphur Dust Lichen,
2551225,17759,Russula fellea,Geranium Brittlegill,277
5241793,17741,Tricholoma fulvum,Birch Knight,
5248629,17686,Lactarius deliciosus,Saffron Milkcap,
2555667,17583,Vuilleminia comedens,Waxy Crust,
